id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_52065115,52065,MEX,115,
cfd_mx.res_country_state_cp_52066,52066,MEX,,
cfd_mx.res_country_state_cp_52067115,52067,MEX,115,
cfd_mx.res_country_state_cp_52068,52068,MEX,,
cfd_mx.res_country_state_cp_52069,52069,MEX,,
cfd_mx.res_country_state_cp_52070115,52070,MEX,115,
cfd_mx.res_country_state_cp_52071,52071,MEX,,
cfd_mx.res_country_state_cp_52072,52072,MEX,,
cfd_mx.res_country_state_cp_52073115,52073,MEX,115,
cfd_mx.res_country_state_cp_52074115,52074,MEX,115,
cfd_mx.res_country_state_cp_52075115,52075,MEX,115,
cfd_mx.res_country_state_cp_52076115,52076,MEX,115,
cfd_mx.res_country_state_cp_52077115,52077,MEX,115,
cfd_mx.res_country_state_cp_52078,52078,MEX,,
cfd_mx.res_country_state_cp_52079,52079,MEX,,
cfd_mx.res_country_state_cp_52080067,52080,MEX,067,
cfd_mx.res_country_state_cp_52081,52081,MEX,,
cfd_mx.res_country_state_cp_52082067,52082,MEX,067,
cfd_mx.res_country_state_cp_52083067,52083,MEX,067,
cfd_mx.res_country_state_cp_52084067,52084,MEX,067,
cfd_mx.res_country_state_cp_52085067,52085,MEX,067,
cfd_mx.res_country_state_cp_52086,52086,MEX,,
cfd_mx.res_country_state_cp_52087,52087,MEX,,
cfd_mx.res_country_state_cp_52088067,52088,MEX,067,
cfd_mx.res_country_state_cp_52089067,52089,MEX,067,
cfd_mx.res_country_state_cp_52090067,52090,MEX,067,
cfd_mx.res_country_state_cp_52091,52091,MEX,,
cfd_mx.res_country_state_cp_52092,52092,MEX,,
cfd_mx.res_country_state_cp_52093,52093,MEX,,
cfd_mx.res_country_state_cp_52094,52094,MEX,,
cfd_mx.res_country_state_cp_52095067,52095,MEX,067,
cfd_mx.res_country_state_cp_52096067,52096,MEX,067,
cfd_mx.res_country_state_cp_52097,52097,MEX,,
cfd_mx.res_country_state_cp_52098,52098,MEX,,
cfd_mx.res_country_state_cp_52099,52099,MEX,,
cfd_mx.res_country_state_cp_5210007632,52100,MEX,076,32
cfd_mx.res_country_state_cp_52101,52101,MEX,,
cfd_mx.res_country_state_cp_52102,52102,MEX,,
cfd_mx.res_country_state_cp_52103,52103,MEX,,
cfd_mx.res_country_state_cp_5210407632,52104,MEX,076,32
cfd_mx.res_country_state_cp_5210507632,52105,MEX,076,32
cfd_mx.res_country_state_cp_5210607632,52106,MEX,076,32
cfd_mx.res_country_state_cp_5210707632,52107,MEX,076,32
cfd_mx.res_country_state_cp_52108,52108,MEX,,
cfd_mx.res_country_state_cp_52109,52109,MEX,,
cfd_mx.res_country_state_cp_52110076,52110,MEX,076,
cfd_mx.res_country_state_cp_52111,52111,MEX,,
cfd_mx.res_country_state_cp_52112,52112,MEX,,
