id,clave,name,descripcion
cfd_mx.unidadesmedida_G23,G23,peck,
cfd_mx.unidadesmedida_M67,M67,acre-foot (based on U.S. survey foot),"Unit of the volume, which is used in the United States to measure/gauge the capacity of reservoirs."
cfd_mx.unidadesmedida_M68,M68,cord (128 ft3),Traditional unit of the volume of stacked firewood which has been measured with a cord.
cfd_mx.unidadesmedida_M69,M69,cubic mile (UK statute),Unit of volume according to the Imperial system of units.
cfd_mx.unidadesmedida_M70,M70,"ton, register ",Traditional unit of the cargo capacity.
cfd_mx.unidadesmedida_G27,G27,cubic centimetre per kelvin,
cfd_mx.unidadesmedida_G29,G29,cubic metre per kelvin,
cfd_mx.unidadesmedida_G28,G28,litre per kelvin,
cfd_mx.unidadesmedida_G30,G30,millilitre per kelvin,
cfd_mx.unidadesmedida_J36,J36,microlitre per litre,
cfd_mx.unidadesmedida_J87,J87,cubic centimetre per cubic metre,
cfd_mx.unidadesmedida_J91,J91,cubic decimetre per cubic metre,
cfd_mx.unidadesmedida_K62,K62,litre per litre,
cfd_mx.unidadesmedida_L19,L19,millilitre per litre,
cfd_mx.unidadesmedida_L21,L21,cubic millimetre per cubic metre,
cfd_mx.unidadesmedida_SEC,SEC,second [unit of time],
cfd_mx.unidadesmedida_MIN,MIN,minute [unit of time],
cfd_mx.unidadesmedida_HUR,HUR,hour,
cfd_mx.unidadesmedida_DAY,DAY,day,
cfd_mx.unidadesmedida_B52,B52,kilosecond,
cfd_mx.unidadesmedida_C26,C26,millisecond,
cfd_mx.unidadesmedida_H70,H70,picosecond,
cfd_mx.unidadesmedida_B98,B98,microsecond,
cfd_mx.unidadesmedida_C47,C47,nanosecond,
cfd_mx.unidadesmedida_WEE,WEE,week,
cfd_mx.unidadesmedida_MON,MON,month,"Unit of time equal to 1/12 of a year of 365,25 days."
cfd_mx.unidadesmedida_ANN,ANN,year,"Unit of time equal to 365,25 days.
Synonym: Julian year"
cfd_mx.unidadesmedida_D42,D42,tropical year,"Unit of time equal to about 365.242 19 days.
Synonym: solar year"
cfd_mx.unidadesmedida_L95,L95,common year,
cfd_mx.unidadesmedida_L96,L96,sidereal year,
cfd_mx.unidadesmedida_M56,M56,shake,Unit for a very short period.
cfd_mx.unidadesmedida_2A,2A,radian per second,Refer ISO/TC12 SI Guide
cfd_mx.unidadesmedida_M46,M46,revolution per minute ,Unit of the angular velocity.
cfd_mx.unidadesmedida_2B,2B,radian per second squared,Refer ISO/TC12 SI Guide
cfd_mx.unidadesmedida_M45,M45,degree [unit of angle] per second squared,360 part of a full circle divided by the power of the SI base unit second and the exponent 2.
cfd_mx.unidadesmedida_MTS,MTS,metre per second,
cfd_mx.unidadesmedida_KNT,KNT,knot,
cfd_mx.unidadesmedida_KMH,KMH,kilometre per hour,
cfd_mx.unidadesmedida_C16,C16,millimetre per second,
cfd_mx.unidadesmedida_2M,2M,centimetre per second,
cfd_mx.unidadesmedida_H49,H49,centimetre per hour,
cfd_mx.unidadesmedida_H81,H81,millimetre per minute,
cfd_mx.unidadesmedida_2X,2X,metre per minute,
cfd_mx.unidadesmedida_M59,M59,metre per second pascal,SI base unit meter divided by the product of SI base unit second and the derived SI unit pascal.
cfd_mx.unidadesmedida_H66,H66,millimetre per year,
cfd_mx.unidadesmedida_H67,H67,millimetre per hour,
