id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_20246,20246,AGU,,
cfd_mx.res_country_state_cp_2024700101,20247,AGU,001,01
cfd_mx.res_country_state_cp_2024800101,20248,AGU,001,01
cfd_mx.res_country_state_cp_2024900101,20249,AGU,001,01
cfd_mx.res_country_state_cp_2025000101,20250,AGU,001,01
cfd_mx.res_country_state_cp_20251,20251,AGU,,
cfd_mx.res_country_state_cp_20252,20252,AGU,,
cfd_mx.res_country_state_cp_20253,20253,AGU,,
cfd_mx.res_country_state_cp_20254,20254,AGU,,
cfd_mx.res_country_state_cp_2025500101,20255,AGU,001,01
cfd_mx.res_country_state_cp_2025600101,20256,AGU,001,01
cfd_mx.res_country_state_cp_2025700101,20257,AGU,001,01
cfd_mx.res_country_state_cp_20258,20258,AGU,,
cfd_mx.res_country_state_cp_2025900101,20259,AGU,001,01
cfd_mx.res_country_state_cp_2026000101,20260,AGU,001,01
cfd_mx.res_country_state_cp_20261,20261,AGU,,
cfd_mx.res_country_state_cp_20262,20262,AGU,,
cfd_mx.res_country_state_cp_2026300101,20263,AGU,001,01
cfd_mx.res_country_state_cp_2026400101,20264,AGU,001,01
cfd_mx.res_country_state_cp_2026500101,20265,AGU,001,01
cfd_mx.res_country_state_cp_2026600101,20266,AGU,001,01
cfd_mx.res_country_state_cp_2026700101,20267,AGU,001,01
cfd_mx.res_country_state_cp_2026800101,20268,AGU,001,01
cfd_mx.res_country_state_cp_2026900101,20269,AGU,001,01
cfd_mx.res_country_state_cp_2027000101,20270,AGU,001,01
cfd_mx.res_country_state_cp_20271,20271,AGU,,
cfd_mx.res_country_state_cp_20272,20272,AGU,,
cfd_mx.res_country_state_cp_20273,20273,AGU,,
cfd_mx.res_country_state_cp_20274,20274,AGU,,
cfd_mx.res_country_state_cp_20275,20275,AGU,,
cfd_mx.res_country_state_cp_2027600101,20276,AGU,001,01
cfd_mx.res_country_state_cp_2027700101,20277,AGU,001,01
cfd_mx.res_country_state_cp_2027800101,20278,AGU,001,01
cfd_mx.res_country_state_cp_20279,20279,AGU,,
cfd_mx.res_country_state_cp_2028000101,20280,AGU,001,01
cfd_mx.res_country_state_cp_20281,20281,AGU,,
cfd_mx.res_country_state_cp_20282,20282,AGU,,
cfd_mx.res_country_state_cp_2028300101,20283,AGU,001,01
cfd_mx.res_country_state_cp_2028400101,20284,AGU,001,01
cfd_mx.res_country_state_cp_2028500101,20285,AGU,001,01
cfd_mx.res_country_state_cp_2028600101,20286,AGU,001,01
cfd_mx.res_country_state_cp_2028700101,20287,AGU,001,01
cfd_mx.res_country_state_cp_2028800101,20288,AGU,001,01
cfd_mx.res_country_state_cp_2028900101,20289,AGU,001,01
cfd_mx.res_country_state_cp_2029000101,20290,AGU,001,01
cfd_mx.res_country_state_cp_2029100101,20291,AGU,001,01
cfd_mx.res_country_state_cp_20292,20292,AGU,,
cfd_mx.res_country_state_cp_20293,20293,AGU,,
cfd_mx.res_country_state_cp_20294,20294,AGU,,
cfd_mx.res_country_state_cp_20295,20295,AGU,,
cfd_mx.res_country_state_cp_2029600101,20296,AGU,001,01
cfd_mx.res_country_state_cp_2029700101,20297,AGU,001,01
