id,clave,name
cfd_mx.cfd_mx_prodserv_10151535,10151535,Semillas o plántulas de maní
cfd_mx.cfd_mx_prodserv_10151536,10151536,Semillas o plántulas de caigua
cfd_mx.cfd_mx_prodserv_10151537,10151537,Semillas o plántulas de espárrago
cfd_mx.cfd_mx_prodserv_10151538,10151538,Semillas o plántulas de garbanzo
cfd_mx.cfd_mx_prodserv_10151539,10151539,Semillas o plántulas de haba
cfd_mx.cfd_mx_prodserv_10151600,10151600,Semillas de cereales
cfd_mx.cfd_mx_prodserv_10151601,10151601,Semillas de trigo
cfd_mx.cfd_mx_prodserv_10151602,10151602,Semillas de canola
cfd_mx.cfd_mx_prodserv_10151603,10151603,Semillas de cebada
cfd_mx.cfd_mx_prodserv_10151604,10151604,Semillas de mijo
cfd_mx.cfd_mx_prodserv_10151605,10151605,Semillas de avena
cfd_mx.cfd_mx_prodserv_10151606,10151606,Semillas de ajonjolí
cfd_mx.cfd_mx_prodserv_10151607,10151607,Semillas de linaza
cfd_mx.cfd_mx_prodserv_10151608,10151608,Semillas de aceite de ricino
cfd_mx.cfd_mx_prodserv_10151609,10151609,Semillas de maíz
cfd_mx.cfd_mx_prodserv_10151610,10151610,Semillas de centeno
cfd_mx.cfd_mx_prodserv_10151611,10151611,Semillas de sorgo
cfd_mx.cfd_mx_prodserv_10151612,10151612,Semillas o plántulas de kiwicha
cfd_mx.cfd_mx_prodserv_10151613,10151613,Semillas o plántulas de quínoa
cfd_mx.cfd_mx_prodserv_10151700,10151700,Semillas y plántulas de hierba y forraje
cfd_mx.cfd_mx_prodserv_10151701,10151701,Semillas o plántulas de arroz
cfd_mx.cfd_mx_prodserv_10151702,10151702,Semillas o plántulas de trébol
cfd_mx.cfd_mx_prodserv_10151703,10151703,Semillas o plántulas de alfalfa
cfd_mx.cfd_mx_prodserv_10151704,10151704,Semillas o plántulas de pasto
cfd_mx.cfd_mx_prodserv_10151705,10151705,Semillas o plántulas de veza (gachas / guija)
cfd_mx.cfd_mx_prodserv_10151706,10151706,Semillas o plántulas de guar
cfd_mx.cfd_mx_prodserv_10151800,10151800,Semillas y plántulas de especias
cfd_mx.cfd_mx_prodserv_10151801,10151801,Semillas o plántulas de pimienta
cfd_mx.cfd_mx_prodserv_10151802,10151802,Semillas o plántulas de vainilla
cfd_mx.cfd_mx_prodserv_10151803,10151803,Semillas o plántulas de canela
cfd_mx.cfd_mx_prodserv_10151804,10151804,Semillas o plántulas de clavo de olor
cfd_mx.cfd_mx_prodserv_10151805,10151805,Semillas o plántulas de cilantro
cfd_mx.cfd_mx_prodserv_10151806,10151806,Semillas o plántulas de jengibre
cfd_mx.cfd_mx_prodserv_10151807,10151807,Semillas o plántulas de azafrán
cfd_mx.cfd_mx_prodserv_10151808,10151808,Semillas o plántulas de tomillo
cfd_mx.cfd_mx_prodserv_10151809,10151809,Semillas o plántulas de curry
cfd_mx.cfd_mx_prodserv_10151810,10151810,Semillas o plántulas de mostaza
cfd_mx.cfd_mx_prodserv_10151811,10151811,Semillas o plántulas de ginseng
cfd_mx.cfd_mx_prodserv_10151812,10151812,Semillas o plántulas de champiñones
cfd_mx.cfd_mx_prodserv_10151813,10151813,Semillas o plántulas de sacha inchi
cfd_mx.cfd_mx_prodserv_10151814,10151814,Semillas o plántulas de achiote
cfd_mx.cfd_mx_prodserv_10151815,10151815,Semillas o plántulas de kudzu
cfd_mx.cfd_mx_prodserv_10151816,10151816,Semillas o plántulas de albahaca
cfd_mx.cfd_mx_prodserv_10151817,10151817,Semillas o plántulas de anís
cfd_mx.cfd_mx_prodserv_10151900,10151900,"Semillas, bulbos, plántulas y esquejes de flores"
cfd_mx.cfd_mx_prodserv_10151901,10151901,"Semillas, bulbos, plántulas o esquejes de tulipán"
cfd_mx.cfd_mx_prodserv_10151902,10151902,"Semillas, plántulas o esquejes de rosa"
cfd_mx.cfd_mx_prodserv_10151903,10151903,"Semillas, bulbos, plántulas o esquejes de narciso"
cfd_mx.cfd_mx_prodserv_10151904,10151904,Semillas de girasol
cfd_mx.cfd_mx_prodserv_10151905,10151905,Bulbos o tallos de jacinto
cfd_mx.cfd_mx_prodserv_10151906,10151906,Bulbos de lirio
cfd_mx.cfd_mx_prodserv_10151907,10151907,Semillas o plántulas de veza
cfd_mx.cfd_mx_prodserv_10152000,10152000,Semillas y esquejes de árboles y arbustos
cfd_mx.cfd_mx_prodserv_10152001,10152001,Semillas o esquejes de árboles frutales
cfd_mx.cfd_mx_prodserv_10152002,10152002,Semillas o esquejes de coníferas
